GCA_045257735.1	UGMSLYSS_Db01
GCA_055389715.1	MAFF 331042
GCA_055385455.1	MAFF 211267
GCA_055392275.1	MAFF 311908
GCA_055387795.1	MAFF 107632
GCA_055385805.1	MAFF 106263
GCA_055387825.1	MAFF 311879
GCA_055395135.1	MAFF 724004
GCA_055386735.1	MAFF 311882
GCA_055385485.1	MAFF 311885
GCA_055384275.1	MAFF 106266
GCA_055385855.1	MAFF 311884
GCA_055392015.1	MAFF 311931
GCA_055382575.1	MAFF 311891
GCA_055396595.1	MAFF 724001
GCA_055393665.1	MAFF 106216
GCA_037101325.1	MAFF 211520
GCA_037101335.1	MAFF 211521
GCA_055394015.1	MAFF 106215
GCA_055380045.1	MAFF 311897
GCA_055388585.1	MAFF 311877
GCA_055396295.1	MAFF 106210
GCA_055383385.1	MAFF 106268
GCA_055386205.1	MAFF 211268
GCA_055391275.1	MAFF 311909
GCA_055378275.1	MAFF 311901
GCA_055388055.1	MAFF 311878
GCA_055384705.1	MAFF 106265
GCA_026016705.1	RS642
GCA_023518395.1	PeaFJ1
GCA_054501575.1	GBBC 1122
GCA_055388045.1	MAFF 311855
GCA_055397205.1	MAFF 106206
GCA_055388575.1	MAFF 311907
GCA_055378945.1	MAFF 106256
GCA_055388975.1	MAFF 311906
GCA_051933855.1	XZqk
GCA_052784355.1	XCqk
GCA_052828505.1	XCqk
GCA_055523335.1	XCqk
GCA_055392285.1	MAFF 724010
GCA_055380435.1	MAFF 311896
GCA_055389375.1	MAFF 106254
GCA_055391665.1	MAFF 311870
GCA_055387435.1	MAFF 106259
GCA_055392825.1	MAFF 724009
GCA_055386725.1	MAFF 106261
GCA_037101345.1	MAFF 301524
GCA_055379705.1	MAFF 311898
GCA_055381715.1	MAFF 311893
GCA_055387485.1	MAFF 311880
GCA_055383415.1	MAFF 311889
GCA_055394465.1	MAFF 106214
GCA_055382985.1	MAFF 106269
GCA_055389745.1	MAFF 311875
GCA_055387005.1	MAFF 106260
GCA_055390165.1	MAFF 311874
GCA_055396565.1	MAFF 106209
GCA_055381295.1	MAFF 311894
GCA_055383015.1	MAFF 311890
GCA_055391615.1	MAFF 311910
GCA_047509085.1	UMN24-1
GCA_037101355.1	MAFF 301069
GCA_055398065.1	MAFF 311902
GCA_048285495.1	PD 7123
GCA_055378695.1	MAFF 311900
GCA_055397765.1	MAFF 106204
GCA_055390545.1	MAFF 311873
GCA_056316165.1	UMN24-2
GCA_048164835.1	NIB_Z_3685
GCA_054491835.1	AGQB-112
GCA_050516395.1	UW609_UCD734
GCA_018243235.1	RS
GCA_054968885.1	LcA12172
GCA_014884685.1	RUN2474
GCA_055398245.1	MAFF 106257
GCA_055393385.1	MAFF 106217
GCA_039623345.1	RS26
GCA_045038125.1	RUN3149
GCA_055379425.1	MAFF 311899
GCA_022625045.1	SL1931
GCA_055393435.1	MAFF 106245
GCA_052747835.1	RUN2161
GCA_050516415.1	UW607_UCD722
GCA_054491805.1	GBBC 1341
GCA_055380885.1	MAFF 311895
GCA_054501625.1	GBBC 3080
GCA_055385175.1	MAFF 311886
GCA_055384715.1	MAFF 311887
GCA_051217005.1	MLY158
GCA_055395705.1	MAFF 106211
GCA_055395975.1	MAFF 724002
GCA_055395735.1	MAFF 724003
GCA_055383775.1	MAFF 106255
GCA_045038085.1	RUN6285
GCA_045038075.1	RUN6340
GCA_050516445.1	UW602_UCD737
GCA_026016645.1	RS639
