biosample	has_assembly	assembly_accessions
SAMN62347673	NO	
SAMN62258039	NO	
SAMN62258038	NO	
SAMN62258037	NO	
SAMN62258036	NO	
SAMN62258035	NO	
SAMN62258034	NO	
SAMN62258033	NO	
SAMN62258032	NO	
SAMN62149727	NO	
SAMN62149726	NO	
SAMN62149725	NO	
SAMN62149724	NO	
SAMN62149723	NO	
SAMN62149722	NO	
SAMN62149721	NO	
SAMN56344637	YES	GCA_059736765.1
SAMN62081425	NO	
SAMN62081424	NO	
SAMN62081423	NO	
SAMN62081422	NO	
SAMN61800723	YES	GCF_059878715.1
SAMN47865868	YES	GCF_059933145.1
SAMN62021623	NO	
SAMN62021622	NO	
SAMN62021621	NO	
SAMN62021620	NO	
SAMN62021619	NO	
SAMN62021618	NO	
SAMN56505474	NO	
SAMN56505473	NO	
SAMN56505472	NO	
SAMN56505471	NO	
SAMN49549708	NO	
SAMN44820517	YES	GCF_054491995.1
SAMN42180106	YES	GCF_041228115.3
SAMN42180105	YES	GCF_041734835.1
SAMN42180104	NO	
SAMN42180103	YES	GCF_041734965.1
SAMN61800730	YES	GCF_059878795.1
SAMN61800729	NO	
SAMN61800728	YES	GCF_059878775.1
SAMN61800727	NO	
SAMN61800726	YES	GCF_059878755.1
SAMN61800725	NO	
SAMN61800724	YES	GCF_059878735.1
SAMN61800722	YES	GCF_059878675.1
SAMN44467445	YES	GCF_047509085.1
SAMEA10977830	YES	GCF_919592095.1
SAMN18995169	NO	
SAMN18995168	NO	
SAMN17266611	YES	GCF_016743075.1
SAMN45032525	YES	GCA_046245135.1
SAMN44629557	NO	
SAMN44629040	YES	GCF_045257735.1
SAMN61028617	YES	GCF_058934535.1
SAMN61028616	YES	GCF_058934555.1
SAMN61028615	YES	GCF_058934665.1
SAMN61027274	YES	GCF_058934505.1
SAMN61842889	NO	
SAMN61842888	NO	
SAMN61842887	NO	
SAMN61842886	NO	
SAMN61842885	NO	
SAMN61842884	NO	
SAMN61842883	NO	
SAMN61842882	NO	
SAMN61842881	NO	
SAMN61842880	NO	
SAMN61842879	NO	
SAMN61842878	NO	
SAMN61842877	NO	
SAMN61842876	NO	
SAMN61842875	NO	
SAMN61842874	NO	
SAMN61842873	NO	
SAMN61842872	NO	
SAMN61842871	NO	
SAMN61588889	NO	
SAMN37757528	NO	
SAMN37757527	NO	
SAMN37757526	NO	
SAMN37757525	NO	
SAMN61141222	NO	
SAMN61240277	NO	
SAMN61240276	NO	
SAMN61240275	NO	
SAMN61240274	NO	
SAMN61240273	NO	
SAMN61240272	NO	
SAMN61240271	NO	
SAMN61240270	NO	
SAMN61240269	NO	
SAMD01900708	NO	
SAMD01900707	NO	
SAMD01900706	NO	
SAMD01900705	NO	
SAMN06289803	YES	GCF_002012345.1
SAMN43428450	YES	GCA_059009725.1
SAMN58956613	NO	
SAMN58956612	NO	
SAMN58956611	NO	
SAMN58956610	NO	
SAMN58956609	NO	
SAMN58956608	NO	
SAMD01793679	NO	
SAMD01793678	NO	
SAMD01793677	NO	
SAMN60390615	NO	
SAMN60390614	NO	
SAMN60390613	NO	
SAMN60390612	NO	
SAMN60390611	NO	
SAMN60390610	NO	
SAMN60390609	NO	
SAMN60390608	NO	
SAMN60390607	NO	
SAMN54739139	YES	GCF_057808465.1
SAMN57364344	YES	GCF_056897435.1
SAMN57364252	YES	GCF_056897675.1
SAMN57364251	YES	GCF_056897595.1
SAMN57364250	YES	GCF_056897635.1
SAMN57364249	YES	GCF_056897475.1
SAMN57364248	YES	GCF_056897615.1
SAMN28078153	NO	
SAMN56533517	YES	GCF_056316165.1
SAMN55915791	NO	
SAMN55915790	NO	
SAMN55915789	NO	
SAMN55915788	NO	
SAMN55915787	NO	
SAMN55915786	NO	
SAMD01793809	NO	
SAMD01793808	NO	
SAMD01793807	NO	
SAMD01793806	NO	
SAMD01793805	NO	
SAMD01793804	NO	
SAMD01793803	NO	
SAMD01793802	NO	
SAMD01793801	NO	
SAMD01793800	NO	
SAMD01793799	NO	
SAMD01793798	NO	
SAMD01793797	NO	
SAMD01793796	NO	
SAMD01793795	NO	
SAMN50180639	YES	GCF_054968885.1
SAMN47662159	NO	
SAMN47662158	NO	
SAMN47662157	NO	
SAMEA121249153	NO	
SAMN54995002	NO	
SAMN54995001	NO	
SAMN54995000	NO	
SAMN54994999	NO	
SAMN54994998	NO	
SAMN54994997	NO	
SAMN54994996	NO	
SAMN54994995	NO	
SAMN54994994	NO	
SAMN54994993	NO	
SAMN54994992	NO	
SAMN54994991	NO	
SAMN54994990	NO	
SAMN54994989	NO	
SAMN54994988	NO	
SAMN54994987	NO	
SAMN54994986	NO	
SAMN54994985	NO	
SAMN54994984	NO	
SAMN54994983	NO	
SAMN54994982	NO	
SAMN54994981	NO	
SAMN54994980	NO	
SAMN54994979	NO	
SAMN54994978	NO	
SAMN54994977	NO	
SAMN54994976	NO	
SAMN54994975	NO	
SAMN54994974	NO	
SAMN54994973	NO	
SAMN54994972	NO	
SAMN54994971	NO	
SAMN54994970	NO	
SAMN54938012	NO	
SAMN54938011	NO	
SAMN54938010	NO	
SAMN54938009	NO	
SAMN54938008	NO	
SAMN54938007	NO	
SAMN54805817	YES	GCF_054882375.1
SAMN54805816	YES	GCF_054882395.1
SAMN54805815	YES	GCF_054882405.1
SAMN54805814	YES	GCF_054881635.1
SAMN44820527	YES	GCF_054491785.1
SAMN44820520	YES	GCF_054491935.1
SAMN44820519	YES	GCF_054491955.1
SAMN44820518	YES	GCF_054491975.1
SAMN44820516	YES	GCF_054492015.1
SAMN44820515	YES	GCF_054492035.1
SAMN44820514	YES	GCF_054492055.1
SAMN44820512	YES	GCF_054492075.1
SAMN44820511	YES	GCF_054492115.1
SAMN44820510	YES	GCF_054492095.1
SAMN44820508	YES	GCF_054492135.1
SAMN44820506	YES	GCF_054492155.1
SAMN44820504	YES	GCF_054492175.1
SAMN44820503	YES	GCF_054492195.1
SAMN44820499	YES	GCF_054492215.1
SAMN44820497	YES	GCF_054492235.1
SAMN44820496	YES	GCF_054492255.1
SAMN44820495	YES	GCF_054492275.1
SAMN44820494	YES	GCF_054492295.1
SAMN44820493	YES	GCF_054492315.1
SAMN54596583	NO	
SAMN54596582	NO	
SAMN54596581	NO	
SAMN54596580	NO	
SAMN54596579	NO	
SAMN54596578	NO	
SAMN54596577	NO	
SAMN54596576	NO	
SAMN54596575	NO	
SAMN54596574	NO	
SAMN44820509	YES	GCF_054501615.1
SAMN44820507	YES	GCF_054501605.1
SAMN44820505	YES	GCF_057920885.1
SAMN44820502	YES	GCF_054501595.1
SAMN44820501	YES	GCF_054501585.1
SAMN44820500	YES	GCF_054501565.1
SAMN44820498	YES	GCF_054501575.1
SAMN43909937	YES	GCF_057584495.1
SAMN43909931	YES	GCF_057584505.1
SAMN43909898	YES	GCF_057584515.1
SAMN43909896	YES	GCF_057584525.1
SAMN43909832	YES	GCF_057584535.1
SAMD01755904	NO	
SAMD01755903	NO	
SAMD01755902	NO	
SAMD01755901	NO	
SAMD01755900	NO	
SAMD01755899	NO	
SAMD01755898	NO	
SAMD01755897	NO	
SAMD01755896	NO	
SAMD01755895	NO	
SAMD01755894	NO	
SAMD01755893	NO	
SAMD01755892	NO	
SAMD01755891	NO	
SAMD01755890	NO	
SAMD01755889	NO	
SAMD01755888	NO	
SAMD01755887	NO	
SAMD01755886	NO	
SAMD01755885	NO	
SAMD01755884	NO	
SAMD01755883	NO	
SAMD01755882	NO	
SAMD01755881	NO	
SAMD01755880	NO	
SAMD01755879	NO	
SAMD01755878	NO	
SAMD01755877	NO	
SAMD01755876	NO	
SAMD01755875	NO	
SAMD01755874	NO	
SAMD01755873	NO	
SAMD01755872	NO	
SAMD01755871	NO	
SAMD01755870	NO	
SAMD01755869	NO	
SAMD01755868	NO	
SAMD01755867	NO	
SAMD01755866	NO	
SAMD01755865	NO	
SAMD01755864	NO	
SAMD01755863	NO	
SAMD01755862	NO	
SAMD01755861	NO	
SAMD01755860	NO	
SAMD01755859	NO	
SAMD01755858	NO	
SAMD01755857	NO	
SAMD01755856	NO	
SAMD01755855	NO	
SAMD01755854	NO	
SAMD01755853	NO	
SAMD01755852	NO	
SAMD01755851	NO	
SAMD01755850	NO	
SAMD01755849	NO	
SAMD01755848	NO	
SAMD01755847	NO	
SAMD01755846	NO	
SAMD01755845	NO	
SAMD01755844	NO	
SAMD01755843	NO	
SAMD01755842	NO	
SAMD01755841	NO	
SAMD01755840	NO	
SAMD01755839	NO	
SAMD01755838	NO	
SAMD01755837	NO	
SAMD01755836	NO	
SAMD01755835	NO	
SAMD01755834	NO	
SAMD01755833	NO	
SAMD01755832	NO	
SAMD01755831	NO	
SAMD01755830	NO	
SAMD01755829	NO	
SAMD01755828	NO	
SAMD01755827	NO	
SAMD01755826	NO	
SAMD01755825	NO	
SAMD01755824	NO	
SAMD01755823	NO	
SAMD01755822	NO	
SAMD01755821	NO	
SAMD01755820	NO	
SAMD01755819	NO	
SAMD01755818	NO	
SAMD01755817	NO	
SAMD01755816	NO	
SAMD01755815	NO	
SAMD01755814	NO	
SAMD01755813	NO	
SAMD01755812	NO	
SAMD01755811	NO	
SAMD01755810	NO	
SAMD01755809	NO	
SAMD01755808	NO	
SAMD01755807	NO	
SAMD01755806	NO	
SAMD01755805	NO	
SAMD01755804	NO	
SAMD01755803	NO	
SAMD01755802	NO	
SAMN48892068	NO	
SAMN48892067	NO	
SAMN48892066	NO	
SAMN48892065	NO	
SAMN48892064	NO	
SAMN48892063	NO	
SAMN48892062	NO	
SAMN48892061	NO	
SAMN48892060	NO	
SAMN48892059	NO	
SAMN48892058	NO	
SAMN48892057	NO	
SAMN48892056	NO	
SAMN48892055	NO	
SAMN48892054	NO	
SAMN48892053	NO	
SAMN48892052	NO	
SAMN48892051	NO	
SAMN48892050	NO	
SAMN48892049	NO	
SAMN48892048	NO	
SAMN48892047	NO	
SAMN48892046	NO	
SAMN48892045	NO	
SAMN48892044	NO	
SAMN48892043	NO	
SAMEA120526971	NO	
SAMEA120526957	NO	
SAMEA120526968	NO	
SAMEA120526958	NO	
SAMEA120526962	NO	
SAMEA120526960	NO	
SAMEA120526970	NO	
SAMEA120526973	NO	
SAMEA120526961	NO	
SAMEA120526955	NO	
SAMEA120526952	NO	
SAMEA120526967	NO	
SAMEA120526972	NO	
SAMEA120526956	NO	
SAMEA120526959	NO	
SAMEA120526966	NO	
SAMEA120515209	NO	
SAMEA120515201	NO	
SAMEA120517282	NO	
SAMEA120515203	NO	
SAMEA120515101	NO	
SAMEA120515207	NO	
SAMEA120515205	NO	
SAMEA120515213	NO	
SAMEA120515149	NO	
SAMEA120515137	NO	
SAMEA120515177	NO	
SAMEA120515185	NO	
SAMEA120515157	NO	
SAMEA120515189	NO	
SAMEA120515109	NO	
SAMEA120515111	NO	
SAMEA120515171	NO	
SAMEA120515187	NO	
SAMEA120515141	NO	
SAMEA120515175	NO	
SAMEA120515119	NO	
SAMEA120515193	NO	
SAMEA120515151	NO	
SAMEA120515165	NO	
SAMEA120515197	NO	
SAMEA120515125	NO	
SAMEA120515167	NO	
SAMEA120515129	NO	
SAMEA120515121	NO	
SAMEA120515143	NO	
SAMEA120515145	NO	
SAMEA120515199	NO	
SAMEA120515139	NO	
SAMEA120515173	NO	
SAMEA120515181	NO	
SAMEA120515123	NO	
SAMEA120515169	NO	
SAMEA120515127	NO	
SAMEA120515183	NO	
SAMEA120515113	NO	
SAMEA120515147	NO	
SAMEA120515179	NO	
SAMEA120515133	NO	
SAMEA120515191	NO	
SAMEA120515195	NO	
SAMEA120515135	NO	
SAMEA120517281	NO	
SAMEA120515131	NO	
SAMEA120515083	NO	
SAMEA120515069	NO	
SAMEA120515095	NO	
SAMEA120515031	NO	
SAMEA120515089	NO	
SAMEA120515063	NO	
SAMEA120515067	NO	
SAMEA120515053	NO	
SAMEA120515037	NO	
SAMEA120515099	NO	
SAMEA120515057	NO	
SAMEA120517280	NO	
SAMEA120515023	NO	
SAMEA120515059	NO	
SAMEA120515087	NO	
SAMEA120515025	NO	
SAMEA120515055	NO	
SAMEA120515091	NO	
SAMEA120515097	NO	
SAMEA120515027	NO	
SAMEA120515061	NO	
SAMEA120515043	NO	
SAMEA120515041	NO	
SAMEA120515073	NO	
SAMEA120515105	NO	
SAMEA120515081	NO	
SAMEA120515029	NO	
SAMEA120515085	NO	
SAMEA120515051	NO	
SAMEA120517279	NO	
SAMEA120515045	NO	
SAMEA120515079	NO	
SAMEA120515093	NO	
SAMEA120515047	NO	
SAMEA120515039	NO	
SAMEA120515075	NO	
SAMEA120515035	NO	
SAMEA120515049	NO	
SAMEA120515071	NO	
SAMEA120515033	NO	
SAMEA120515077	NO	
SAMEA120515065	NO	
SAMEA120515103	NO	
SAMEA120514927	NO	
SAMEA120514999	NO	
SAMEA120514993	NO	
SAMEA120514955	NO	
SAMEA120514991	NO	
SAMEA120514939	NO	
SAMEA120515003	NO	
SAMEA120514941	NO	
SAMEA120514951	NO	
SAMEA120514931	NO	
SAMEA120514997	NO	
SAMEA120514959	NO	
SAMEA120514957	NO	
SAMEA120514935	NO	
SAMEA120515001	NO	
SAMEA120515005	NO	
SAMEA120514969	NO	
SAMEA120514933	NO	
SAMEA120514937	NO	
SAMEA120514929	NO	
SAMEA120514967	NO	
SAMEA120514995	NO	
SAMEA120514945	NO	
SAMEA120517278	NO	
SAMEA120514883	NO	
SAMEA120514857	NO	
SAMEA120514837	NO	
SAMEA120514867	NO	
SAMEA120514873	NO	
SAMEA120514859	NO	
SAMEA120514851	NO	
SAMEA120514879	NO	
SAMEA120514841	NO	
SAMEA120514875	NO	
SAMEA120514891	NO	
SAMEA120514853	NO	
SAMEA120517276	NO	
SAMEA120514835	NO	
SAMEA120514863	NO	
SAMEA120514897	NO	
SAMEA120514887	NO	
SAMEA120514847	NO	
SAMEA120514831	NO	
SAMEA120514907	NO	
SAMEA120514893	NO	
SAMEA120514865	NO	
SAMEA120514833	NO	
SAMEA120514889	NO	
SAMEA120514843	NO	
SAMEA120514899	NO	
SAMEA120514871	NO	
SAMEA120514849	NO	
SAMEA120514861	NO	
SAMEA120514901	NO	
SAMEA120514869	NO	
SAMEA120514839	NO	
SAMEA120514905	NO	
SAMEA120514877	NO	
SAMEA120514895	NO	
SAMEA120514885	NO	
SAMEA120514909	NO	
SAMEA120514845	NO	
SAMEA120517277	NO	
SAMN53365625	NO	
SAMN53365624	NO	
SAMN53365623	NO	
SAMN53365622	NO	
SAMN53365621	NO	
SAMN53365620	NO	
SAMN53365619	NO	
SAMN53365618	NO	
SAMN53365617	NO	
SAMN53365616	NO	
SAMN47772879	NO	
SAMN47772878	NO	
SAMN47772877	NO	
SAMN47772876	NO	
SAMN47772875	NO	
SAMN47772874	NO	
SAMN52376887	YES	GCF_053878305.1
SAMN48995533	YES	GCF_057320885.1
SAMN48977310	YES	GCF_057320845.1
SAMN48955999	YES	GCF_057320865.1
SAMN51433432	YES	GCF_052828505.1
SAMN37721522	YES	GCF_052784355.1
SAMN51336171	YES	GCF_052747835.1
SAMN51286211	YES	GCF_055523335.1
SAMN47519698	NO	
SAMN47519697	NO	
SAMN47519696	NO	
SAMN47519695	NO	
SAMN47519694	NO	
SAMN47519693	NO	
SAMN47519692	NO	
SAMN47519691	NO	
SAMN47519690	NO	
SAMN47519689	NO	
SAMN47519688	NO	
SAMN47519687	NO	
SAMN47519686	NO	
SAMN47519685	NO	
SAMN47519684	NO	
SAMN47519683	NO	
SAMN47519682	NO	
SAMN47519681	NO	
SAMN47519680	NO	
SAMN47519679	NO	
SAMN47519678	NO	
SAMN47519677	NO	
SAMN47519676	NO	
SAMN47519675	NO	
SAMN47519674	NO	
SAMN47519673	NO	
SAMN47519672	NO	
SAMN47519671	NO	
SAMN47519670	NO	
SAMN47519669	NO	
SAMN47519668	NO	
SAMN47519667	NO	
SAMN47519666	NO	
SAMN47519665	NO	
SAMN47519664	NO	
SAMN47519663	NO	
SAMN47519662	NO	
SAMN47519661	NO	
SAMN47519660	NO	
SAMN47519659	NO	
SAMN47519658	NO	
SAMN47519657	NO	
SAMN47519656	NO	
SAMN47519655	NO	
SAMN47519654	NO	
SAMN47519653	NO	
SAMN47519652	NO	
SAMN47519651	NO	
SAMN47519650	NO	
SAMN47519649	NO	
SAMN47519648	NO	
SAMN47519647	NO	
SAMN47519646	NO	
SAMN47519645	NO	
SAMN47519644	NO	
SAMN47519643	NO	
SAMN47519642	NO	
SAMN47519641	NO	
SAMN47519640	NO	
SAMN47519639	NO	
SAMN47519638	NO	
SAMN47519637	NO	
SAMN47519636	NO	
SAMN47519635	NO	
SAMN47519634	NO	
SAMN47519633	NO	
SAMN47519632	NO	
SAMN47519631	NO	
SAMN47519630	NO	
SAMN47519629	NO	
SAMN47519628	NO	
SAMN47519627	NO	
SAMN47519626	NO	
SAMN47519625	NO	
SAMN47519624	NO	
SAMN47519623	NO	
SAMN47519622	NO	
SAMN47519621	NO	
SAMN47519620	NO	
SAMN47519619	NO	
SAMN47519618	NO	
SAMN47519617	NO	
