biosample	has_assembly	assembly_accessions
SAMN47519616	NO	
SAMN47519615	NO	
SAMN47519614	NO	
SAMN47519613	NO	
SAMN47519612	NO	
SAMN47519611	NO	
SAMN47519610	NO	
SAMN47519609	NO	
SAMN46495461	YES	GCF_051069535.1
SAMN46495460	YES	GCF_051069575.1
SAMN46495459	YES	GCF_051069615.1
SAMN46495458	YES	GCF_051069595.1
SAMN46495457	YES	GCF_051069635.1
SAMN46495456	YES	GCF_051069655.1
SAMN46495455	YES	GCF_051069675.1
SAMN46495454	YES	GCF_051069695.1
SAMN46495453	YES	GCF_051069735.1
SAMN46495452	YES	GCF_051069715.1
SAMN46495451	YES	GCF_051069755.1
SAMN46495450	YES	GCF_051069775.1
SAMN46495449	YES	GCF_051069795.1
SAMN46495448	YES	GCF_051069815.1
SAMN46495447	YES	GCF_051069835.1
SAMN46495446	YES	GCF_051069855.1
SAMN46495445	YES	GCF_051069875.1
SAMN46495444	YES	GCF_051069895.1
SAMN46495443	YES	GCF_051069915.1
SAMN46495442	YES	GCF_051069935.1
SAMN46495441	YES	GCF_051069955.1
SAMN46495440	YES	GCF_051069975.1
SAMN46495439	YES	GCF_051069995.1
SAMN46495438	YES	GCF_051070015.1
SAMN46495437	YES	GCF_051070035.1
SAMN46495436	YES	GCF_051070055.1
SAMN46495435	YES	GCF_051070075.1
SAMN46495434	YES	GCF_051070095.1
SAMN46495433	YES	GCF_051070115.1
SAMN46495432	YES	GCF_051070135.1
SAMN46495431	YES	GCF_051070155.1
SAMN46495430	YES	GCF_051070175.1
SAMN46495429	YES	GCF_051070195.1
SAMN46495428	YES	GCF_051070235.1
SAMN46495427	YES	GCF_051070215.1
SAMN46495426	YES	GCF_051070255.1
SAMN46495425	YES	GCF_051070275.1
SAMN46495424	YES	GCF_051070295.1
SAMN46495423	YES	GCF_051070315.1
SAMN46495422	YES	GCF_051070335.1
SAMN46495421	YES	GCF_051070365.1
SAMN46495420	YES	GCF_051070415.1
SAMN46495419	YES	GCF_051070475.1
SAMN46495418	YES	GCF_051070495.1
SAMN46495417	YES	GCF_051070525.1
SAMN46495416	YES	GCF_051070625.1
SAMN46495415	YES	GCF_051070595.1
SAMN46495414	YES	GCF_051070665.1
SAMN46495413	YES	GCF_051070725.1
SAMN46495412	YES	GCF_051070755.1
SAMN46495411	YES	GCF_051070805.1
SAMN46495410	YES	GCF_051070845.1
SAMN46495409	YES	GCF_051070875.1
SAMN46495408	YES	GCF_051070945.1
SAMN46495407	YES	GCF_051070965.1
SAMN46495406	YES	GCF_051071035.1
SAMN46495405	YES	GCF_051071065.1
SAMN46495404	YES	GCF_051071105.1
SAMN46495403	YES	GCF_051071185.1
SAMN46495402	YES	GCF_051071165.1
SAMN46495401	YES	GCF_051071225.1
SAMN46495400	YES	GCF_051071315.1
SAMN46495399	YES	GCF_051071285.1
SAMN46495398	YES	GCF_051071345.1
SAMN46495397	YES	GCF_051071445.1
SAMN46495396	YES	GCF_051071425.1
SAMN46495395	YES	GCF_051071475.1
SAMN46495394	YES	GCF_051071555.1
SAMN46495393	YES	GCF_051071595.1
SAMN46495392	YES	GCF_051071575.1
SAMN46495391	YES	GCF_051071665.1
SAMN46495390	YES	GCF_051071685.1
SAMN43154446	NO	
SAMEA118939735	YES	GCA_966250315.1
SAMEA118821850	YES	GCA_965653545.1
SAMEA118817294	YES	GCA_965651225.1
SAMN50030530	YES	GCF_051933855.1
SAMN50030529	YES	GCF_051933255.1
SAMN49966198	NO	
SAMN20349546	YES	GCF_056815655.1
SAMN49812370	YES	GCF_051305165.1
SAMN49888381	NO	
SAMN49888380	NO	
SAMN49888379	NO	
SAMN49888378	NO	
SAMN49888377	NO	
SAMN49888376	NO	
SAMD01229264	YES	GCF_055381255.1
SAMD01229263	YES	GCF_055381665.1
SAMD01229262	YES	GCF_055382065.1
SAMD01229261	YES	GCF_055382505.1
SAMD01229260	YES	GCF_055382985.1
SAMD01229259	YES	GCF_055383385.1
SAMD01229258	YES	GCF_055383745.1
SAMD01229257	YES	GCF_055384275.1
SAMD01229256	YES	GCF_055384705.1
SAMD01229255	YES	GCF_055385165.1
SAMD01229254	YES	GCF_055385455.1
SAMD01229253	YES	GCF_055385805.1
SAMD01229252	YES	GCF_055386205.1
SAMD01229251	YES	GCF_055386725.1
SAMD01229250	YES	GCF_055387005.1
SAMD01229249	YES	GCF_055387435.1
SAMD01229248	YES	GCF_055387795.1
SAMD01229247	YES	GCF_055388045.1
SAMD01229246	YES	GCF_055388575.1
SAMD01229245	YES	GCF_055388975.1
SAMD01229244	YES	GCF_055389345.1
SAMD01229243	YES	GCF_055389715.1
SAMD01229242	YES	GCF_055390135.1
SAMD01229241	YES	GCF_055390515.1
SAMD01229240	YES	GCF_055390875.1
SAMD01229239	YES	GCF_055391275.1
SAMD01229238	YES	GCF_055391615.1
SAMD01229237	YES	GCF_055392015.1
SAMD01229236	YES	GCF_055392275.1
SAMD01229235	YES	GCF_055392795.1
SAMD01229234	YES	GCF_055393385.1
SAMD01229233	YES	GCF_055393665.1
SAMD01229232	YES	GCF_055394015.1
SAMD01229231	YES	GCF_055394465.1
SAMD01229230	YES	GCF_055395105.1
SAMD01229229	YES	GCF_055395325.1
SAMD01229228	YES	GCF_055395705.1
SAMD01229227	YES	GCF_055396295.1
SAMD01229226	YES	GCF_055396565.1
SAMD01229225	YES	GCF_055396855.1
SAMD01229224	YES	GCF_055396955.1
SAMD01229223	YES	GCF_055397205.1
SAMD01229222	YES	GCF_055397415.1
SAMD01229221	YES	GCF_055397595.1
SAMD01229220	YES	GCF_055397765.1
SAMD01229219	YES	GCF_055398065.1
SAMD01229218	YES	GCF_055398245.1
SAMD01229217	YES	GCF_055378275.1
SAMD01229216	YES	GCF_055378695.1
SAMD01229215	YES	GCF_055378945.1
SAMD01229214	YES	GCF_055379425.1
SAMD01229213	YES	GCF_055379705.1
SAMD01229212	YES	GCF_055380045.1
SAMD01229211	YES	GCF_055380435.1
SAMD01229210	YES	GCF_055380885.1
SAMD01229209	YES	GCF_055381295.1
SAMD01229208	YES	GCF_055381715.1
SAMD01229207	YES	GCF_055382075.1
SAMD01229206	YES	GCF_055382575.1
SAMD01229205	YES	GCF_055383015.1
SAMD01229204	YES	GCF_055383415.1
SAMD01229203	YES	GCF_055383775.1
SAMD01229202	YES	GCF_055542735.1
SAMD01229201	YES	GCF_055384715.1
SAMD01229200	YES	GCF_055385175.1
SAMD01229199	YES	GCF_055385485.1
SAMD01229198	YES	GCF_055385855.1
SAMD01229197	YES	GCF_055386225.1
SAMD01229196	YES	GCF_055386735.1
SAMD01229195	YES	GCF_055387035.1
SAMD01229194	YES	GCF_055387485.1
SAMD01229193	YES	GCF_055387825.1
SAMD01229192	YES	GCF_055388055.1
SAMD01229191	YES	GCF_055388585.1
SAMD01229190	YES	GCF_055388985.1
SAMD01229189	YES	GCF_055389375.1
SAMD01229188	YES	GCF_055389745.1
SAMD01229187	YES	GCF_055390165.1
SAMD01229186	YES	GCF_055390545.1
SAMD01229185	YES	GCF_055390885.1
SAMD01229184	YES	GCF_055391285.1
SAMD01229183	YES	GCF_055391665.1
SAMD01229182	YES	GCF_055392065.1
SAMD01229181	YES	GCF_055392285.1
SAMD01229180	YES	GCF_055392825.1
SAMD01229179	YES	GCF_055393435.1
SAMD01229178	YES	GCF_055393675.1
SAMD01229177	YES	GCF_055394085.1
SAMD01229176	YES	GCF_055394475.1
SAMD01229175	YES	GCF_055395135.1
SAMD01229174	YES	GCF_055395355.1
SAMD01229173	YES	GCF_055395735.1
SAMD01229172	YES	GCF_055395975.1
SAMD01229171	YES	GCF_055396595.1
SAMD01229170	YES	GCF_055396695.1
SAMN47326621	NO	
SAMN47326620	NO	
SAMN48881384	YES	GCF_051217005.1
SAMN47852671	YES	GCF_051068555.1
SAMN47852670	YES	GCF_051068575.1
SAMN47852669	YES	GCF_051068595.1
SAMN47852668	YES	GCF_051068615.1
SAMN47852667	YES	GCF_051068535.1
SAMN47852666	YES	GCF_051068635.1
SAMN47852665	YES	GCF_051068655.1
SAMN47852664	YES	GCF_051068695.1
SAMN47852663	YES	GCF_051068675.1
SAMN47852662	YES	GCF_051068715.1
SAMN47852661	YES	GCF_051068775.1
SAMN47852660	YES	GCF_051068755.1
SAMN47852659	YES	GCF_051068735.1
SAMN47852658	YES	GCF_051068795.1
SAMN47852657	YES	GCF_051068815.1
SAMN47852656	YES	GCF_051068835.1
SAMN47852655	YES	GCF_051068875.1
SAMN47852654	YES	GCF_051068855.1
SAMN47852653	YES	GCF_051068895.1
SAMN47852652	YES	GCF_051068915.1
SAMN47852651	YES	GCF_051068935.1
SAMN47852650	YES	GCF_051068955.1
SAMN47852649	YES	GCF_051068995.1
SAMD00889216	YES	GCF_055396965.1
SAMN45624672	NO	
SAMN45624671	NO	
SAMN45624670	NO	
SAMN45624669	NO	
SAMN45624668	NO	
SAMN45624667	NO	
SAMN45624666	NO	
SAMN45624665	NO	
SAMN45624664	NO	
SAMN45624663	NO	
SAMN45624662	NO	
SAMN45624661	NO	
SAMN45624660	NO	
SAMN45624659	NO	
SAMN45624658	NO	
SAMN45624657	NO	
SAMN45624656	NO	
SAMN45624655	NO	
SAMN45624654	NO	
SAMN45624653	NO	
SAMN45624652	NO	
SAMN45624651	NO	
SAMN45624650	NO	
SAMN45624649	NO	
SAMN45624648	NO	
SAMN45624647	NO	
SAMN45624646	NO	
SAMN45624645	NO	
SAMN45624644	NO	
SAMN45624643	NO	
SAMN45624642	NO	
SAMN45624641	NO	
SAMN45624640	NO	
SAMN45624639	NO	
SAMN45624638	NO	
SAMN45624637	NO	
SAMN45624636	NO	
SAMN45624635	NO	
SAMN45624634	NO	
SAMN45624633	NO	
SAMN45624632	NO	
SAMN45624631	NO	
SAMN45624630	NO	
SAMN45624629	NO	
SAMN45624628	NO	
SAMN45624627	NO	
SAMN45624626	NO	
SAMN45624625	NO	
SAMN45624624	NO	
SAMN45624623	NO	
SAMN45624622	NO	
SAMN45624621	NO	
SAMN45624620	NO	
SAMN45624619	NO	
SAMN45624618	NO	
SAMN45624617	NO	
SAMN45624616	NO	
SAMN45624615	NO	
SAMN45624614	NO	
SAMN45624613	NO	
SAMN45624612	NO	
SAMN45624611	NO	
SAMN45624610	NO	
SAMN45624609	NO	
SAMN45624608	NO	
SAMN45624607	NO	
SAMN45624606	NO	
SAMN45624605	NO	
SAMN45624604	NO	
SAMN45624603	NO	
SAMN45624602	NO	
SAMN45624601	NO	
SAMN45624600	NO	
SAMN45624599	NO	
SAMN45624598	NO	
SAMN45624597	NO	
SAMN45624596	NO	
SAMN45624595	NO	
SAMN45624594	NO	
SAMN45624593	NO	
SAMN45624592	NO	
SAMN45624591	NO	
SAMN45624590	NO	
