SAMD00034391	GCF_001879565.1	
SAMD00250057	GCF_015097935.1	RAL_AA0164AA
SAMD00250058	GCF_015098135.1	RAL_AA0163AA
SAMD00250059	GCF_015098255.1	RAL_AA0162AA
SAMD00250060	GCF_015098475.1	RAL_AA0161AA
SAMD00250061	GCF_015098595.1	RAL_AA0160AA
SAMD00250062	GCF_015098755.1	RAL_AA0159AA
SAMD00256261	GCF_015698345.1	
SAMD00256262	GCF_015698365.1	RAL_AA0856AA
SAMD00256263	GCF_015698385.1	RAL_AA0855AA
SAMD00657122	GCF_037101315.1	RAL_AA0016AA
SAMD00657123	GCF_037101325.1	RAL_AA0015AA
SAMD00657124	GCF_037101335.1	RAL_AA0014AA
SAMD00657125	GCF_037101345.1	RAL_AA0013AA
SAMD00657126	GCF_037101355.1	RAL_AA0012AA
SAMD00657127	GCF_037101365.1	RAL_AA1757AA
SAMD00889216	GCF_055396965.1	RAL_AA1062AA
SAMD01229170	GCF_055396695.1	RAL_AA1157AA
SAMD01229171	GCF_055396595.1	RAL_AA1156AA
SAMD01229172	GCF_055395975.1	RAL_AA1139AA
SAMD01229173	GCF_055395735.1	RAL_AA1138AA
SAMD01229174	GCF_055395355.1	RAL_AA1137AA
SAMD01229175	GCF_055395135.1	RAL_AA1136AA
SAMD01229176	GCF_055394475.1	RAL_AA1135AA
SAMD01229177	GCF_055394085.1	RAL_AA1134AA
SAMD01229178	GCF_055393675.1	RAL_AA1133AA
SAMD01229179	GCF_055393435.1	RAL_AA1132AA
SAMD01229180	GCF_055392825.1	RAL_AA1131AA
SAMD01229181	GCF_055392285.1	RAL_AA1130AA
SAMD01229182	GCF_055392065.1	RAL_AA1129AA
SAMD01229183	GCF_055391665.1	RAL_AA1128AA
SAMD01229184	GCF_055391285.1	RAL_AA1127AA
SAMD01229185	GCF_055390885.1	RAL_AA1126AA
SAMD01229186	GCF_055390545.1	
SAMD01229187	GCF_055390165.1	RAL_AA1124AA
SAMD01229188	GCF_055389745.1	
SAMD01229189	GCF_055389375.1	RAL_AA1106AA
SAMD01229190	GCF_055388985.1	RAL_AA1105AA
SAMD01229191	GCF_055388585.1	RAL_AA1104AA
SAMD01229192	GCF_055388055.1	RAL_AA1103AA
SAMD01229193	GCF_055387825.1	RAL_AA1102AA
SAMD01229194	GCF_055387485.1	RAL_AA1101AA
SAMD01229195	GCF_055387035.1	RAL_AA1100AA
SAMD01229196	GCF_055386735.1	
SAMD01229197	GCF_055386225.1	RAL_AA1098AA
SAMD01229198	GCF_055385855.1	RAL_AA1097AA
SAMD01229199	GCF_055385485.1	RAL_AA1096AA
SAMD01229200	GCF_055385175.1	RAL_AA1095AA
SAMD01229201	GCF_055384715.1	RAL_AA1094AA
SAMD01229202	GCF_055542735.1	RAL_AA1093AA
SAMD01229203	GCF_055383775.1	RAL_AA1092AA
SAMD01229204	GCF_055383415.1	RAL_AA1155AA
SAMD01229205	GCF_055383015.1	
SAMD01229206	GCF_055382575.1	RAL_AA1153AA
SAMD01229207	GCF_055382075.1	RAL_AA1152AA
SAMD01229208	GCF_055381715.1	RAL_AA1151AA
SAMD01229209	GCF_055381295.1	
SAMD01229210	GCF_055380885.1	RAL_AA1149AA
SAMD01229211	GCF_055380435.1	RAL_AA1148AA
SAMD01229212	GCF_055380045.1	
SAMD01229213	GCF_055379705.1	RAL_AA1146AA
SAMD01229214	GCF_055379425.1	RAL_AA1145AA
SAMD01229215	GCF_055378945.1	RAL_AA1144AA
SAMD01229216	GCF_055378695.1	RAL_AA1143AA
SAMD01229217	GCF_055378275.1	
SAMD01229218	GCF_055398245.1	RAL_AA1141AA
SAMD01229219	GCF_055398065.1	RAL_AA1140AA
SAMD01229220	GCF_055397765.1	RAL_AA1091AA
SAMD01229221	GCF_055397595.1	RAL_AA1090AA
SAMD01229222	GCF_055397415.1	RAL_AA1089AA
SAMD01229223	GCF_055397205.1	RAL_AA1088AA
SAMD01229224	GCF_055396955.1	RAL_AA1087AA
SAMD01229225	GCF_055396855.1	RAL_AA1086AA
SAMD01229226	GCF_055396565.1	RAL_AA1085AA
SAMD01229227	GCF_055396295.1	
SAMD01229228	GCF_055395705.1	RAL_AA1083AA
SAMD01229229	GCF_055395325.1	RAL_AA1082AA
SAMD01229230	GCF_055395105.1	RAL_AA1081AA
SAMD01229231	GCF_055394465.1	RAL_AA1080AA
SAMD01229232	GCF_055394015.1	RAL_AA1079AA
SAMD01229233	GCF_055393665.1	
SAMD01229234	GCF_055393385.1	RAL_AA1077AA
SAMD01229235	GCF_055392795.1	RAL_AA1076AA
SAMD01229236	GCF_055392275.1	
SAMD01229237	GCF_055392015.1	RAL_AA1122AA
SAMD01229238	GCF_055391615.1	RAL_AA1121AA
SAMD01229239	GCF_055391275.1	RAL_AA1120AA
SAMD01229240	GCF_055390875.1	RAL_AA1119AA
SAMD01229241	GCF_055390515.1	RAL_AA1118AA
SAMD01229242	GCF_055390135.1	RAL_AA1117AA
SAMD01229243	GCF_055389715.1	RAL_AA1116AA
SAMD01229244	GCF_055389345.1	RAL_AA1115AA
SAMD01229245	GCF_055388975.1	RAL_AA1114AA
SAMD01229246	GCF_055388575.1	RAL_AA1113AA
SAMD01229247	GCF_055388045.1	RAL_AA1112AA
SAMD01229248	GCF_055387795.1	RAL_AA1111AA
SAMD01229249	GCF_055387435.1	RAL_AA1110AA
SAMD01229250	GCF_055387005.1	RAL_AA1109AA
SAMD01229251	GCF_055386725.1	RAL_AA1108AA
SAMD01229252	GCF_055386205.1	RAL_AA1075AA
SAMD01229253	GCF_055385805.1	
SAMD01229254	GCF_055385455.1	RAL_AA1073AA
SAMD01229255	GCF_055385165.1	
SAMD01229256	GCF_055384705.1	RAL_AA1071AA
SAMD01229257	GCF_055384275.1	RAL_AA1070AA
SAMD01229258	GCF_055383745.1	RAL_AA1069AA
SAMD01229259	GCF_055383385.1	
SAMD01229260	GCF_055382985.1	RAL_AA1067AA
SAMD01229261	GCF_055382505.1	RAL_AA1066AA
