York_Number	Earlham_Number	Protect_Number	Diag_Code	NCPPB_Number	Alternative_ID 	Host	Potential_Host_Specification	Year	Continent	Country	Region_Origin	County	Comments	Species	Logitude	Latitude											
YO074	74			NCPPB 1500		Potato		1963	Oceania	Fiji				Ralstonia solanacearum													
YO075	75			NCPPB 1702		Potato		1964	Oceania	Fiji				Ralstonia pseudosolanacearum													
YO076	76			NCPPB 1029		Pelargonium capitatum		1961	Africa	France	Reunion		Type strain of R. pseudosolanacearum	Ralstonia pseudosolanacearum													
YO077	77			NCPPB 2200		Tomato		1966	North America	France	Guadeloupe			Ralstonia sp.													
YO078	78	"4437, 7362"		NCPPB 4157		Potato		1995	Europe	France			French one bit odd - sequence anyway as may be interesting	Ralstonia solanacearum													
YO079	79		21108193		Protect 7 G6	Tomato		2011	Europe	France				Ralstonia solanacearum													
YO080	80			NCPPB 2204		Tomato		1968	South America	French Guyana			GMI1000? R. pseudosolanacearum genome sequenced strain	Ralstonia sp.													
YO081	179	2015			"GMI1000,  R761"	Tomato			South America	French Guyana		French Guyana		Ralstonia solanacearum													
YO082	82			NCPPB 3181		Nightshade		1978	Africa	Gambia				Ralstonia sp.													
YO083	83	7790				Tomato		2011	Asia	Georgia				Ralstonia solanacearum													
YO084	84		21112409		Protect 7 I2	Tomato		2011	Asia	Georgia				Ralstonia solanacearum													
YO085	124	"4441, 3604, 5689"		NCPPB 4161	SMT 76	Potato		1996	Europe	Germany				Ralstonia solanacearum													
YO086	86			NCPPB 1789		Potato		1965	Europe	Greece				Ralstonia solanacearum													
YO087	87	6828		NCPPB 2015		Potato		1967	Europe	Greece				Ralstonia sp.													
YO088	88	8027		NCPPB 3205		Banana		1979	South America	Guyana				Ralstonia solanacearum													
YO089	89			NCPPB 0789		Banana		1959	North America	Honduras				Ralstonia solanacearum													
YO090	90		21123931		Protect 9 G10	Potato		2012	Europe	Hungary				Ralstonia solanacearum													
YO091	91		21123932		Protect 9 H1	Potato		2012	Europe	Hungary				Ralstonia solanacearum													
YO092	92		21123933		Protect 9 H2	Potato		2012	Europe	Hungary				Ralstonia solanacearum													
YO093	93		21123934		Protect 9 H3	Potato		2012	Europe	Hungary				Ralstonia solanacearum													
YO094	94		21123935		Protect 9 H4	Potato		2012	Europe	Hungary				Ralstonia solanacearum													
YO095	95		21123936		Protect 9 H5	Potato		2012	Europe	Hungary				Ralstonia solanacearum													
YO096	96			NCPPB 1331		Potato		1962	Asia	India				Ralstonia solanacearum													
YO097	97			NCPPB 1333		Potato		1962	Asia	India				Ralstonia solanacearum													
YO098	98	8025		NCPPB 3214		Banana		1980	Asia	India				Ralstonia solanacearum													
YO099	99			NCPPB 3219		Clove		1980	Asia	Indonesia			grow on CS	Ralstonia syzygii subsp. indonesiensis													
YO100	49	"145, 5773, 3481"		NCPPB 3792	T327	Clove		1985	Asia	Indonesia	Central Java		Grow on CS	Ralstonia syzygii subsp. syzygii													
YO101	101	147		NCPPB 3793	S718	Potato		1985	Asia	Indonesia	East Java			Ralstonia solanacearum													
YO102	102	"134, 5779"		NCPPB 3725	T334	Banana		1987	Asia	Indonesia	West Java			Ralstonia syzygii subsp. celebesensis													
YO103	103	135			T379	Banana		1987	Asia	Indonesia				Ralstonia syzygii subsp. celebesensis													
