York_Number	Earlham_Number	Protect_Number	Diag_Code	NCPPB_Number	Alternative_ID 	Host	Potential_Host_Specification	Year	Continent	Country	Region_Origin	County	Comments	Species	Logitude	Latitude											
YO258	258	5986			95-WE4	Water		1995	Europe	UK		Hertfordshire		Ralstonia solanacearum	-0.25642018	51.8099											
YO259	259	6002				Water		1996	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2121558	51.653847											
YO260	260	6004			"B276, 31247/5/1"	Solanum dulcamara		1996	Europe	UK		Greater London		Ralstonia solanacearum	-0.48596885	51.495664											
YO261	261	6005			"B274, 31856/2/4"	Solanum dulcamara		1996	Europe	UK		Buckinghamshire		Ralstonia solanacearum	-0.48699216	51.508266											
YO262	262	6006			B270	Solanum dulcamara		1996	Europe	UK		Surrey		Ralstonia solanacearum	-0.5042781	51.464426											
YO263	263	6007			"B269, 31856/1/2"	Solanum dulcamara		1996	Europe	UK		Surrey		Ralstonia solanacearum	-0.51593596	51.460078											
YO264	264	6008			"B268, 31856/1/1"	Solanum dulcamara		1996	Europe	UK		Surrey		Ralstonia solanacearum	-0.53800743	51.445069											
YO265	265	6009			"B245, 31247/5/3"	Solanum dulcamara		1996	Europe	UK		Berkshire		Ralstonia solanacearum	-0.5238442	51.482659											
YO266	266	6062			B645	Solanum dulcamara		1996	Europe	UK		Greater London		Ralstonia solanacearum	-0.49737131	51.630692											
YO267	267	6102			DS866	Potato	tuber	1996	Europe	UK		Berkshire		Ralstonia solanacearum	-0.53708816	51.473832											
YO268	268	6109			B646	Water		1996	Europe	UK		Greater London		Ralstonia solanacearum	-0.49486948	51.61897											
YO269	65	2490			M 078	Water		1997	Europe	UK		Surrey		Ralstonia solanacearum	-0.5123498	51.437552											
YO270	270	2487			M 023	Water		1997	Europe	UK		Berkshire		Ralstonia solanacearum	-0.93323164	51.404371											
YO271	271	2488			M 051	Water		1997	Europe	UK		Hampshire		Ralstonia solanacearum	-1.501727	50.814684											
YO272	272	2489			M 077	Water		1997	Europe	UK		Surrey		Ralstonia solanacearum	-0.54048307	51.457689											
YO273	273	6017				Tomato		1997	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.297286	52.187249											
YO274	274	6018				Tomato		1997	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.297286	52.187249											
YO275	275	6019			"RGO38, 35397/2/1/3"	Water		1997	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.297286	52.187249											
YO276	276	6020			###############################################################################################################################################################################################################################################################	Water		1997	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.2754162	52.07184											
YO277	277	6105				Water		1997	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.297286	52.187249											
YO278	278	6106			TOM4	Tomato		1997	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.297286	52.187249											
YO279	279	6107			TOM3	Tomato		1997	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.297286	52.187249											
YO280	280	6108				Water		1997	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.29143772	52.187165											
YO281	282	3325				Water		1998	Europe	UK		Cambridgeshire		Ralstonia solanacearum	0.097333546	52.396696											
YO282	283	6063			B644	Water		1998	Europe	UK		Greater London		Ralstonia solanacearum	-0.49675878	51.605506											
YO283	284	3326				Water		1998	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.37054905	52.023741											
YO284	12	3597				Water		1999	Europe	UK		Northamptonshire		Ralstonia solanacearum	-0.4882466	52.551286											
YO285	285	3596				Water		1999	Europe	UK		Northamptonshire		Ralstonia solanacearum	-0.43446677	52.529009											
YO286	287	3729			MP193	Potato	tuber	1999	Europe	UK		Northamptonshire		Ralstonia solanacearum	-0.4882466	52.551286											
YO287	187	3792				Water		2000	Europe	UK		Kent		Ralstonia solanacearum	1.1970184	51.374596											
YO288	371	5518			SASA 119C	Water		2000	Europe	UK	Scotland		"Scotland, Tay"	Ralstonia solanacearum													
YO289	289	5822			336	Water		2005	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.30990257	52.163154											
YO290	290	5823			316	Water		2005	Europe	UK		Warwickshire		Ralstonia solanacearum	-1.699311	52.520099											
YO291	291	5824			315	Water		2005	Europe	UK		Gloucestershire		Ralstonia solanacearum	-2.2672239	51.874666											
YO292	292	5825			314	Water		2005	Europe	UK		Gloucestershire		Ralstonia solanacearum	-2.2269244	51.948475											
YO293	293	5826			308	Water		2005	Europe	UK		Gloucestershire		Ralstonia solanacearum	-2.1543478	51.998042											
YO294	294	5827			307	Water		2005	Europe	UK		Worcestershire		Ralstonia solanacearum	-2.1152271	52.078104											
YO295	295	5828			306	Water		2005	Europe	UK		Worcestershire		Ralstonia solanacearum	-1.9999544	52.108728											
YO296	296	5870			430	Water		2005	Europe	UK		Gloucestershire		Ralstonia solanacearum	-2.2269244	51.948475											
YO297	297	5871			452	Water		2005	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.30990257	52.163154											
YO298	298	5872			458	Water		2005	Europe	UK		Cambridgeshire		Ralstonia solanacearum	-0.20072132	52.549063											
YO299	299	5873			468	Water		2005	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.30392074	52.166665											
YO300	300	5874			481	Water		2005	Europe	UK		Cambridgeshire		Ralstonia solanacearum	-0.22962288	52.563884											
YO301	301	5956			R3	Potato	tuber	2005	Europe	UK		Nottinghamshire		Ralstonia solanacearum	-0.98657885	53.409009											
YO302	302	6418			226	Water		2006	Europe	UK		Lincolnshire		Ralstonia solanacearum	-0.549814	53.230809											
YO303	303	6419			291	Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.3122675	52.038383											
YO304	304	6420			426	Water		2006	Europe	UK		Warwickshire		Ralstonia solanacearum	-1.7074324	52.183886											
YO305	305	6421			310	Water		2006	Europe	UK		Mid Glamorgan		Ralstonia solanacearum	-3.5369963	51.667107											
YO306	306	6423			370	Water		2006	Europe	UK		Cambridgeshire		Ralstonia solanacearum	-0.31487222	52.572321											
YO307	307	6424			357	Water		2006	Europe	UK		Cambridgeshire		Ralstonia solanacearum	-0.19917376	52.550837											
YO308	308	6425			494	Water		2006	Europe	UK		Dorset		Ralstonia solanacearum	-2.1825254	50.678916											
YO309	309	6426			330	Water		2006	Europe	UK		Dorset		Ralstonia solanacearum	-2.1825254	50.678916											
YO310	310	6427			476	Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.1609519	52.075427											
YO311	311	6428			292	Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.1609519	52.075427											
YO312	312	6429			419	Water		2006	Europe	UK		West Midlands		Ralstonia solanacearum	-2.0088088	52.568126											
YO313	313	6430			267	Water		2006	Europe	UK		West Midlands		Ralstonia solanacearum	-2.0088088	52.568126											
YO314	314	6431			420	Water		2006	Europe	UK		Warwickshire		Ralstonia solanacearum	-1.699311	52.520099											
YO315	315	6432	W06/265			Water		2006	Europe	UK		Warwickshire		Ralstonia solanacearum	-1.699311	52.520099											
YO316	316	6436			615	Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.3122675	52.038383											
YO317	317	6437			616	Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.1609519	52.075427											
YO318	318	6438			634	Water		2006	Europe	UK		Dorset		Ralstonia solanacearum	-2.1825254	50.678916											
YO319	319	6439			593	Water		2006	Europe	UK		Mid Glamorgan		Ralstonia solanacearum	-3.5369963	51.667107											
YO320	320	6440			655	Water		2006	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.31645989	52.144366											
YO321	321	6441	W06/427			Water		2006	Europe	UK		Warwickshire		Ralstonia solanacearum	-1.7337912	52.178554											
YO322	322	6442	W06/414			Water		2006	Europe	UK		Staffordshire		Ralstonia solanacearum	-1.7245785	52.721531											
YO323	323	6460	W06/614			Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.4669078	52.039742											
YO324	324	6461			809	Water		2006	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.31645989	52.144366											
YO325	325	6462			725	Water		2006	Europe	UK		Warwickshire		Ralstonia solanacearum	-1.699311	52.520099											
YO326	326	6463			808	Water		2006	Europe	UK		Bedfordshire		Ralstonia solanacearum	-0.30990257	52.163154											
YO327	327	6464			785	Water		2006	Europe	UK		Dorset		Ralstonia solanacearum	-2.1825254	50.678916											
YO328	328	6465			766	Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.3122675	52.038383											
YO329	329	6466			744	Water		2006	Europe	UK		Mid Glamorgan		Ralstonia solanacearum	-3.5369963	51.667107											
YO330	330	6470			734	Water		2006	Europe	UK		Warwickshire		Ralstonia solanacearum	-1.7425917	52.174078											
YO331	331	6471			767	Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.1609519	52.075427											
YO332	332	6472			827	Water		2006	Europe	UK		Cambridgeshire		Ralstonia solanacearum	-0.31487222	52.572321											
YO333	333	6477	W06/614			Water		2006	Europe	UK		Carmarthenshire		Ralstonia solanacearum	-4.4669078	52.039742											
YO334	334	6478	W06/818			Water		2006	Europe	UK		Cambridgeshire		Ralstonia solanacearum	-0.12005223	52.33112											
YO335	335	6940				Water		2007	Europe	UK		Hampshire		Ralstonia solanacearum	-1.7908505	50.913578											
YO336	336	6941				Water		2007	Europe	UK		Cambridgeshire		Ralstonia solanacearum	-0.19917376	52.550837											
YO337	337	6942				Water		2007	Europe	UK		Cambridgeshire		Ralstonia solanacearum	-0.19917376	52.550837											
YO338	338	6943				Water		2007	Europe	UK		Surrey		Ralstonia solanacearum	-0.18775799	51.204569											
YO339	339	6944				Water		2007	Europe	UK		Hampshire		Ralstonia solanacearum	-1.7908505	50.913578											
YO340	340	6945	W07/440			Water		2007	Europe	UK		Berkshire		Ralstonia solanacearum	-0.70629143	51.549555											
YO341	341	6946	W07/439			Water		2007	Europe	UK		Berkshire		Ralstonia solanacearum	-0.75927258	51.563615											
YO342	342	6947	W07/435			Water		2007	Europe	UK		Berkshire		Ralstonia solanacearum	-0.87890687	51.450622											
YO343	343	6948	W07/438			Water		2007	Europe	UK		Berkshire		Ralstonia solanacearum	-0.74863454	51.478079											
YO344	344	7114				Water		2008	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2697105	51.670403											
YO345	345	7115				Solanum dulcamara		2008	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2697105	51.670403											
YO346	346	7116				Solanum dulcamara		2008	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2697105	51.670403											
YO347	347	7117				Solanum dulcamara		2008	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2108041	51.648443											
YO348	348	7118				Water		2008	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2582021	51.666734											
YO349	349	7482			09/901	Potato	tuber	2009	Europe	UK		Cornwall		Ralstonia solanacearum	-4.7214484	50.574411											
YO350	350		21314705			Water		2013	Europe	UK		Berkshire		Ralstonia solanacearum	-0.6354928	51.505592											
YO351	351		21314706			Water		2013	Europe	UK		Berkshire		Ralstonia solanacearum	-0.60684988	51.49986											
YO352	352		21415687			Water		2014	Europe	UK		Berkshire		Ralstonia solanacearum	-0.87811361	51.482986											
YO353	353		21415697			Water		2014	Europe	UK		Berkshire		Ralstonia solanacearum	-0.86706289	51.463996											
YO354	354		21517183			Water		2015	Europe	UK		Berkshire		Ralstonia solanacearum	-0.87811361	51.482986											
YO355	355		21517184			Water		2015	Europe	UK		Berkshire		Ralstonia solanacearum	-0.86706289	51.463996											
YO356	356		21620088			Water		2016	Europe	UK		Cambridgeshire		Ralstonia solanacearum	0.093266063	52.466003											
YO357	357		21620089			Water		2016	Europe	UK		Cambridgeshire		Ralstonia solanacearum	0.1133353	52.485427											
YO358	358		21620094			Water		2016	Europe	UK		Norfolk		Ralstonia solanacearum	0.26077509	52.603189											
YO359	359		21620744			Water		2016	Europe	UK		Norfolk		Ralstonia solanacearum	0.29063566	52.637683											
YO360	360		21713910			Water		2017	Europe	UK		Norfolk		Ralstonia solanacearum	0.24851177	52.594431											
YO361	361		21713920			Water		2017	Europe	UK		Norfolk		Ralstonia solanacearum	0.22127785	52.581458											
YO362	362		21714435			Water		2017	Europe	UK		Cambridgeshire		Ralstonia solanacearum	0.20598945	52.570954											
YO363	363		21714855			Water		2017	Europe	UK		Norfolk		Ralstonia solanacearum	0.25777811	52.602347											
YO364	364		21802385			Water		2018	Europe	UK		Norfolk		Ralstonia solanacearum	0.20938983	52.579882											
YO365	365		21812347			Water		2018	Europe	UK		Cambridgeshire		Ralstonia solanacearum	0.20598945	52.570954											
YO366	366		21812382			Water		2018	Europe	UK		Norfolk		Ralstonia solanacearum	0.23141815	52.577671											
YO367	367		21813021			Water		2018	Europe	UK		Cambridgeshire		Ralstonia solanacearum	0.1739974	52.580537											
YO368	368		21813608			Water		2018	Europe	UK		Norfolk		Ralstonia solanacearum	0.25777811	52.602347											
YO369	369		21813731			Water		2018	Europe	UK		Cambridgeshire		Ralstonia solanacearum	0.11169868	52.461404											
YO370	33	5519			SASA 125V	Water		Unknown	Europe	UK	Scotland		"Scotland, Lunan Burn"	Ralstonia solanacearum													
YO371	288	5517			SASA 161P	Water		Unknown	Europe	UK	Scotland		"Scotland, Isla Bridge"	Ralstonia solanacearum													
YO372	372	"5788, 5687, 1532, 3611"		"NCPPB 325, NCPPB 3973"	" K60, R842"	Tomato		1953	North America	USA		USA	K60	Ralstonia solanacearum													
YO373	373			NCPPB 0337		Tobacco		1954	North America	USA				Ralstonia solanacearum													
YO374	374			NCPPB 0338		Tobacco		1954	North America	USA				Ralstonia solanacearum													
YO375	144	"4372, 5685"		NCPPB 4009	"R300, UW27"	Tobacco		1955	North America	USA				Ralstonia pseudosolanacearum?													
YO376	376	7422		NCPPB 1580		Tomato		1959	North America	USA	Hawaii			Ralstonia pseudosolanacearum													
YO377	377	"3472, 5775"		NCPPB 927		Sugarcane		1961	North America	USA			Sugarcane - might vbe new species	Ralstonia sp.													
YO378	378			NCPPB 1579		Ginger		1961	North America	USA	Hawaii			Ralstonia pseudosolanacearum													
YO379	379			NCPPB 1581		Strelitzia reginae		1961	North America	USA	Hawaii			Ralstonia sp.													
YO380	380			NCPPB 4362	UW551	Pelargonium hortorum		2003	North America	USA	Ex Kenya		Host:Pelargonium x hortorum cv. Americana Dark Red; Race3 Biovar 2. Genome sequenced. Host plant originated in Kenya. Cutting raised in USA; The donor reference is UW551	Ralstonia solanacearum													
YO381	381			NCPPB 3969		Banana			South America	Venezuela				Ralstonia solanacearum													
YO382	382			NCPPB 0283		Solanum panduraforme		1950	Africa	Zimbabwe				Ralstonia pseudosolanacearum													
YO383	383			NCPPB 0332		Potato		1954	Africa	Zimbabwe				Ralstonia pseudosolanacearum													
YO384	384			NCPPB 0505		Comfrey		1956	Africa	Zimbabwe				Ralstonia pseudosolanacearum													
YO385					T2019S3a	Solanum dulcamara		2019	Europe	UK	Oxfordshire		River Thames trip. Not sequenced.	Ralstonia solanacearum	-1.1857	51.656939											
YO386					T2019W3(2)4	Water		2019	Europe	UK	Oxfordshire		River Thames trip. Not sequenced.	Ralstonia solanacearum	-1.1857	51.656939											
YO387					T2019S8a3	Solanum dulcamara		2019	Europe	UK	Oxfordshire		River Thames trip. Not sequenced.	Ralstonia solanacearum	-1.214418	51.640811											
YO388					T2019W8(3)	Water		2019	Europe	UK	Oxfordshire		River Thames trip. Not sequenced.	Ralstonia solanacearum	-1.214418	51.640811											
YO389					T2019S11a	Solanum dulcamara		2019	Europe	UK	Oxfordshire		River Thames trip. Not sequenced.	Ralstonia solanacearum	-1.255193	51.648289											
YO390					T2019W11(2)	Water		2019	Europe	UK	Oxfordshire		River Thames trip. Not sequenced.	Ralstonia solanacearum	-1.255193	51.648289											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
