NCPPB	NCPPB Notes	Taxon	Name	Name as Received	Sequencing - Sequenced	Other - Sequence type(s)	Other - Partial Gene Type	Other - Sequencing Notes	Other - URL link (NCBI)	Other - URL link (Q-bank)	Collection History - Year of Isolation	Collection History - Country of Isolation	Collection History - Isolated By	Collection History - Isolater's Reference	Collection History - Isolated From	Collection History - Country of Origin	Collection History - Year of Accession	Collection History - Donor	Collection History - Donor Reference	Collection History - Donor Institution	Collection History - Host	Reference - Other Collections	Other - Public Notes
3986	Failed VC 12/10/2023. Reinstate public access when new batch is created	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Peru	1997	J. Elphinstone	R583	ex Martin	Solanum tuberosum		Biovar 2T.
3985		Ralstonia solanacearum		Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1988					Peru	1997	J. Elphinstone	R578	ex Aley	Solanum melongena	"SMT 44, CFBP 4612"	"Biovar 2T. RFLP 31 (Cook et al). SMT reference strain (EC official method),"
3985	"GM,OX & HOST. BII is contaminated CH 12/10/18"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Peru	1997	J. Elphinstone	R576	ex Aley	Solanum melongena	"SMT 44, CFBP 4612"	"Biovar 2T. RFLP 31 (Cook et al). SMT reference strain (EC official method),"
3983	"2nd VC completed 2013, 3rd VC completed 2023 (HB)"	Ralstonia syzygii subsp. indonesiensis	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No											Indonesia	1997	J. Elphinstone	R784		Solanum tuberosum		Biovar 2A.
3982	OX & HOST	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Chile	1997	J. Elphinstone	R576	ex Martin	Solanum tuberosum		Biovar 2A. RFLP 27A (Cook et al)
3980	OX & HOST	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1966					Australia	1997	J. Elphinstone	R309	ex A.C. Hayward	Solanum tuberosum		Bivar 2A. RFLP 26B (Cook et al)
3978	OX & HOST. 2nd VC completed 2013. 2rd VC completed 2023- HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Brazil	1997	J. Elphinstone	R296	ex Robbs	Nicotiana tabacum		Biovar 1. RFLP 7 (Cook et al).
3977	OX & HOST	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Costa Rica	1997	J. Elphinstone	R286	ex Sequeria	M. perfoliatum		Biovar 1. RFLP 5 (Cook et al)
3976	OX & HOST. 2nd VC completed 2013. 2rd VC completed 2023- HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Costa Rica	1997	J. Elphinstone	R285	ex Gonzalez			Biovar 1. RFLP 4 (Cook et al).
3975	"Appears A-Typical when grown on SPA until 4 days old, does not produce brown pigmentation on TSBA. 2nd VC completed 2025 - MB"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Colombia	1997	J. Elphinstone	R281	ex Sequeria	Solanum lycopersicum		Biovar 1. RFLP 6 (Cook et al).
3974	HOST	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Mexico	1997	J. Elphinstone	R287	ex Fujikovsky	Solanum lycopersicum		Biovar 1. RFLP 3 (Cook et al)
3973	OX & HOST; 2nd VC done 2026- TMTC 5 years 	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No											USA	1997	J. Elphinstone	R842	ex Kelman	Solanum lycopersicum		Biovar 1. RFLP 1 (Cook et al).
																							
																							
3971	OX & HOST. 2nd VC completed 2013. 3rd VC completed 2024- HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Philippines	1997	J. Elphinstone	R495	ex S. Eden-Green	Musa (Banana)		Biovar 1 (Bugtok).
3970	OX & HOST	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Philippines	1997	J. Elphinstone	R651	ex Soguilon	Musa (Banana)		Biovar 1 (Bugtok).
3969	2ND VC rpt	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Venezuela	1997	J. Elphinstone	R367	ex Kelman	Musa (Plantain)		Biovar 1 (Moko-SFR). RFLP 28 (Cook et al).
3968	"2nd VC completed 2013, 3rd VC completed 2023 (HB)"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1996												Colombia	1997	J. Elphinstone	R133	ex Sequeira	Musa (Plantain)		Biovar 1 (Moko). RFLP 25 (Cook et al).
3899	"Deleted not a plant pathogen and duplication, =NCPPB 4129 and NCPPB 4166"	Ralstonia pickettii	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996	Pseudomonas pickettii													1994	ATCC	ATCC 11149	ex ATCC P1150		"ATCC 11149, NCPPB 4129, NCPPB 4166"	
3868		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993							1991		ex C.A. Lopes			Brazil	1993	P.M.G. Parente	CNPH-110		Solanum tuberosum		Biovar II.
3867		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993							1991		ex C.A. Lopes			Brazil	1993	P.M.G. Parente	CNPH-27		Solanum tuberosum	"SMT42, CFBP 4610"	"Biovar II.SMT reference strain (EC official method),"
3866	2nd VC completed 2025 - MB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993									ex C.A. Lopes			Brazil	1993	P.M.G. Parente	CNPH-14		Solanum tuberosum		Biovar I.
3865	2nd VC completed 2025 - MB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993							1991		ex C.A. Lopes			Brazil	1993	P.M.G. Parente	CNPH-19		Solanum lycopersicum		Biovar I.
3864	Presumed freeze dried according to SOP PLH/808 - NO post drying checks done	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993							1991		ex C.A. Lopes			Brazil	1993	P.M.G. Parente	CNPH-55		Capsicum annuum		Biovar III.
3863	28.05.25 - taken off public access until identification confirmed. 29/05/25 - strain IDed as Burkholderia by FAP. PCR confirms it is not Ralstonia	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993							1991		ex C.A. Lopes			Brazil	1993	P.M.G. Parente	CNPH-18		Solanum lycopersicum		Biovar II.
3863		Ralstonia solanacearum																					
3862		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993							1991		ex C.A. Lopes			Brazil	1993	P.M.G. Parente	CNPH-17		Capsicum annuum		Biovar II.
3858	Presumed freeze dried according to SOP PLH/808 - NO post drying checks done	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993							1992					UK	1993	J. Wilson	BR36		Solanum tuberosum cv. Cara		
3857		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1992		J.K Wilson A5370			UK	1992	J.K. Wilson			Solanum tuberosum cv. Romano	"SMT12, CFBP 4587"	"SMT reference strain (EC official method),"
3856	Presumed freeze dried according to SOP PLH/808 - NO post drying checks done	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1992		J.E. Sellwood A5427			UK	1992	J.E. Sellwood			Solanum tuberosum cv. Nadine		
3855	Presumed freeze dried according to SOP PLH/808 - NO post drying checks done	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1992		J.K Wilson A5367			UK	1992	J.K. Wilson			Solanum tuberosum cv. Marfona		
3854	No card record of Re-dry for BI.VC - RECHECK IN 5 YEARS	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1992		J.K. Wilson A5364			UK	1992	J.K. Wilson			Solanum tuberosum cv. Estima		
3851	Failed 2nd VC-MB re freezedry	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914												China	1993	He	R292		Morus alba		
3850	2ND VC rpt	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914												China	1993	He	R288		Morus alba	"SMT 50, CFBP 4617, NCPPB 4011"	
3815	"2nd VC completed 2013, 3rd VC completed 2023 (HB)"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1992		J.E. Sellwood A5244			UK	1992	J.E. Sellwood			Solanum tuberosum		Material ex Bangladesh. Race 1. Biovar 2.
3794		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No								S. Eden-Green T305x			Indonesia - Central Java	1992	S.Roberts			Syzygium aromaticum (clove)		
3793	Failed VC 06/10/2023. Reinstate public access when a new batch is created.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1985		S. Eden-Green T718x			Indonesia - East Java	1992	S.Roberts			Solanum tuberosum		
3792	"Will not FAP, Taqman used to authenticate 20/2/02.GROWS BEST ON NPSA, PW & CS IN THAT ORDER. WILL NOT GROW ON CYE, OR TSBA. GROW ON NPSA FOR FAP'S. AUTHENTICATED BY TAQMAN PCR 20 FEB 2002"	Ralstonia syzygii subsp. syzygii	Pseudomonas syzygii Roberts et al. 1990	Ralstonia syzygii Roberts et al. 1990	No								S. Eden-Green T327x			Indonesia - Central Java	1992	S.Roberts			Syzygium aromaticum (clove)		TaqMan indicates authentic Ralstonia sp.
3791	"Will not FAP. Taqman used to authenticate (20/2/02)GROWS BEST ON NPSA, PW & CS IN THAT ORDER. WILL NOT GROW ON CYE, OR TSBA. GROW ON NPSA FOR FAP'S. AUTHENTICATED BY TAQMAN PCR 20 FEB 2002 - NOT SYZIGII - 16S SEQUENCING SHOWS THEY ARE SPHINGOMONAS"	Ralstonia syzygii	Pseudomonas syzygii Roberts et al. 1990	Ralstonia syzygii Roberts et al. 1990	No								S. Eden-Green T326x			Indonesia - West Java	1992	S.Roberts			Syzygium aromaticum (clove)		TaqMan indicates authentic Ralstonia sp. Phylotype IV (NCPPB 2021)
3790	"will not FAP. Taqman used for authenticity 20/2/02.GROWS BEST ON NPSA, PW & CS IN THAT ORDER. WILL NOT GROW ON CYE, OR TSBA. GROW ON NPSA FOR FAP'S. AUTHENTICATED BY TAQMAN PCR 20 FEB 2002 - NOT SYZIGII - 16S SEQUENCING SHOWS THEY ARE SPHINGOMONAS"	Ralstonia syzygii	Pseudomonas syzygii Roberts et al. 1990	Ralstonia syzygii Roberts et al. 1990	No								S. Eden-Green T329x			N. Sumatra	1992	S.Roberts			Syzygium aromaticum (clove)		TaqMan indicates authentic Ralstonia sp. Phylotype IV (NCPPB 2021)
3728	2ND VC done 2026 MB 4.3x10^4 	Ralstonia syzygii subsp. celebesensis	Pseudomonas sp.(Banana blood disease)	Pseudomonas sp. (Banana blood disease)	No								S. Eden-Green T440X			Indonesia - North Sulawesi	1990				Musa hybrid banana	ICMP 10003	
3727		Ralstonia syzygii subsp. celebesensis	Pseudomonas sp.(Banana blood disease)	Pseudomonas sp. (Banana blood disease)							1988		S. Eden-Green T394X			South Sulawesi	1990				Musa hybrid banana	ICMP 10002	
3727	"2nd VC completed 2011, 3rd VC completed 2023 (HB)"	Ralstonia syzygii subsp. celebesensis																					
3726	2nd VC completed 2024 - HB	Ralstonia syzygii subsp. celebesensis																					
3726		Ralstonia syzygii subsp. celebesensis	Pseudomonas sp.(Banana blood disease)	Pseudomonas sp. (Banana blood disease)							1988		S. Eden-Green T389X			South Sulawesi	1990				Musa hybrid banana	"ICMP 10001, SMT 59"	"Cross reacts with Ralstonia solanacearum polyclonal antisera, Cross reacts with OLI 1/Y2 PCR primers"
3725	2nd VC done 2026-MB 2.2x10^6	Ralstonia syzygii subsp. celebesensis	Pseudomonas sp.(Banana blood disease)	Pseudomonas sp. (Banana blood disease)	No						1987		S. Eden-Green T334X			Indonesia - West Java	1990				Musa hybrid banana	ICMP 10000	
3650	2nd VC	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1979					Brazil	1990	J.R. Neto	ISBF 188		Musa sp.		Race 2.
3649	2nd VC completed 2015. 3rd VC completed 2023 - HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1979					Brazil	1990	J.R. Neto	ISBF 187		Musa sp.	ICMP 6782	Race 2.
3594	REQ. REDRY N.A.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1960		ex I. Buddenhagen			Colombia	1988	J.F. Bradbury	B305		Heliconia caribaea		Biovar 1
3446	Taken off line until ID is confirmed. AA March 2025. Grows best on Sequeira (NCPPB modification) AA April 2024.2 pots of ampoules exist. Check both pots when counting stock.From amp S444. 2nd VC completed 2022. 3rd VC completed 2023- HB.	Ralstonia syzygii subsp. syzygii	Ralstonia syzygii Roberts et al. 1990	Pseudomonas syzygii							1980		S. Eden-Green			Indonesia (Sumatra)	1985	S. Eden-Green	"R001 , S444 , EDE83/38"		Syzygium aromaticum (clove)	"ATCC 49543, ICMP 10915, LMG 10661, DSM 7385"	
3445	Not enough growth to do VC	Ralstonia syzygii subsp. syzygii	Ralstonia syzygii Roberts et al. 1990	Pseudomonas syzygii	No						1983		S. Eden-Green			Indonesia - Java	1985	S. Eden-Green	S442 (R002)		Syzygium aromaticum (clove)		
3445		Ralstonia syzygii subsp. syzygii		Psuedomonas syzygii	No						1983		S. Eden-Green			Indonesia - Java	1985	S. Eden-Green	S442 (R002)		Syzygium aromaticum (clove)		
3362	2ND VC rpt 2014. 3rd VC completed 2024- HB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914												China	1985	Z. Xu	Z0-12				Phylotype I (NCPPB 2021)
3238	REQ. REDRY N.A.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1982		J.E. Sellwood A1645			Netherlands	1982				Solanum tuberosum		
3219		Ralstonia syzygii subsp. indonesiensis	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1980		ex C.P. Benett UBB			Indonesia	1982	J.F. Bradbury	B8719a		Syzygium aromaticum (clove)		
3219	"2nd VC completed 2012, 3rd VC completed 2023 (HB)"	Ralstonia syzygii subsp. indonesiensis																					
3217		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1980		ex S.N. de S. Seneviratne P182B			Sri Lanka	1982	J.F. Bradbury	B8700		Curcuma longa		Biovar II. Phylotype I (NCPPB 2021)
3217	2ND VC rpt. Failed VC 15/06/2023. Reinstate public access when new batch is created.	Ralstonia pseudosolanacearum																					
3214		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1980		ex S. Gananamickam B			India	1982	J.F. Bradbury	B8606		Musa sp.		"Although the strain has is recorded as coming from India ex Musa, the origin of the strain has not been verified."
3205		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1979		ex F.D. McDonald			Guyana	1982	J.F. Bradbury	B8365		Musa sp. (plantain).		
3190		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1978		ex T. Chan Mock 120			Malaysia	1982	J.F. Bradbury	B7667		Solanum lycopersicum		
3181		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1978		J.F. Bradbury B7554			Gambia	1982				Solanum incanum		Phylotype III (NCPPB 2021)
3181	Failed VC 15/06/2023. Reinstate public access when new batch is created.	Ralstonia pseudosolanacearum																					
2937	2nd VC	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1975		ex D. Shaw PNG 9600			Papua New Guinea	1977	J.F. Bradbury	B6209		Solanum tuberosum		Phylotype I (NCPPB 2021)
2797		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1974		K. Olssen Ps51			Sweden	1975				Solanum dulcamara		Race 3.
2796		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1974		K. Olssen Ps48			Sweden	1975				Solanum dulcamara		Race 3
2505	"FAP SI is low, ~.350"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1972		K. Olssen Ps10			Sweden	1973				Solanum tuberosum	"SMT24, CFBP 4599"	"Biovar II (NCPPB).SMT reference strain (EC official method),"
2484	REQ. REDRY N.A.	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1969		J.F. Bradbury B4084			Uganda	1972				Arachis hypogaea		Biovar III.
2316	2ND VC 2014 rpt. 3rd VC 2024	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914												Australia	1970	L. Sequeira	S-243		Solanum tuberosum		Race 3.
2315	2ND VC rpt	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914												Peru	1970	L. Sequeira	S-223		Musa sp.		Race 2.
2314		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											Colombia	1970	L. Sequeira	S-210;		Plantago sp.		Race 1.
2313		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914												Costa Rica	1970	L. Sequeira S-123			Eupatorium sp.		Phylotype II (NCPPB 2021)
2312	DELETED RECORD stored at -80	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914												USA	1970	L. Sequeira	K60		Solanum lycopersicum		Probably = NCPPB 325. Biovar I (NCPPB). Race 1.
2245		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1969		ex S. Aldrich 236			Australia	1969	J.F. Bradbury	B4050		Stylosanthes humulis		Biovar IV. Phylotype I (NCPPB 2021)
2204	"1st VC - 11.12.1992 - 0.07 vacuum, 5.6x10^8 colony count; 2nd VC"	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1968		B. Digat Guy To 1			French Guyana	1969				Solanum lycopersicum	INRA 69.11660	Phylotype I (NCPPB 2021)
																							
																							
2203		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1965		B. Digat Gua To 1			Guadeloupe	1969				Solanum lycopersicum	INRA 68.1038	Phylotype II (NCPPB 2021)
2202		Burkholderia sp.	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1968		B. Digat Tri Ba 4			Trinidad	1969				Musa sp.	INRA 69.11700	Identified as Burkholderia sp. 04/10/2000
2201	2nd VC completed 2023 - HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1968		B. Digat Tri To 3			Trinidad	1969				Solanum lycopersicum	INRA 69.11730	Phylotype II (NCPPB 2021)
2200	2ND VC rpt	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1966		B. Digat Gua To 2			Guadeloupe	1969				Solanum lycopersicum	INRA 69.1161	Phylotype II (NCPPB 2021)
2199	2nd VC done 2026 MB 6.2x10^8 	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914Pseudomonas solanacearum (Smith 1896) 1914	No						1965		B. Digat Mar An 1			Martinique	1969				Solanum melongena	INRA 69.1165	Phylotype II (NCPPB 2021)
2198	"Auth check in 2023 showed atypical colony morphology and a negative LFT. FAP on 20/12/2023 showed a profile linked to Ralstonia pickettii. Pathogenic to tomato plant, December 2023. Further tests required. VC Failed 12/05/2023. Do not reinstate public access until a new batch is created."	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1968		B. Digat Tri Ba2			Trinidad	1969				Musa sp.	INRA 69.1168	Phylogroup I (NCPPB Jan 2024)
2198	"Pathogenic to tomato plant, December 2023. Further tests required. VC Failed 12/05/2023. Do not reinstate public access until a new batch is created."	Ralstonia pseudosolanacearum															1970						SPA
2154	"2nd VC completed 2016, 3rd VC completed 2023 - HB"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1958					Costa Rica	1969	ICPB PS168-200		ex A. Kelman	Heliconia sp.		
2153	"2nd VC completed 2012, 3rd VC completed 2023 (HB)"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1945						1969	ICPB PS122		ex A. Kelman	Arachis hypogaea		Phylotype II (NCPPB 2021)
2152		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914													1969	ICPB PS121					Phylotype I (NCPPB 2021)
2088		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1968		D.C. Graham			Nigeria	1968				Solanum tuberosum		Biovar II.
2015	Freeze dried to SOP PLH/808 - NO post drying tests carried out.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1967					Greece	1967	J. Oxtoby A32			Solanum tuberosum		Phylotype II (NCPPB 2021)
1824		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1966		J. Oxtoby Psl			Egypt	1966				Solanum tuberosum		Biovar II.
1789	"Thrown away batch IV, Re dry batch III LB 27/07/2012"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1965		C.G. Panagopoulos 8			Greece	1966				Solanum tuberosum		
1763	2nd VC done 2026 MB 7.2x10^8	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1965		R. A. Lelliott Ps1			Seychelles	1965				Solanum lycopersicum		Biovar III. Phylotype I (NCPPB May 2021)
1703	2nd VC completed 2023 - HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1965		A.C. Hayward B2674			Netherlands	1965			.	Solanum tuberosum		Biovar II (atypical)
1702		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1964		A.C. Hayward B2122			Fiji	1965				Solanum tuberosum		Biovar III.
1695		Ralstonia solanacearum	Ralstonia sp.		No						1965					Tanzania	1965	A.C. Hayward	B2669	ex D.R.W. Watson	Saccharum officinarum		"Taxon B (Hayward, 1962). Fatty acids typical of Ralstonia but BOX profile not typical of any R.sol bvs. Phylotype II (NCPPB May 2021)"
1621		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1960		A.C. Hayward B394B			Mauritius	1964				Solanum tuberosum		Carbohydrate metabolism different from Biotypes I-IV. Phylotype I (NCPPB May 2021)
1614		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1964		A.C. Hayward B2217			Malaysia	1964				Solanum tuberosum		Biovar II.
1584	2nd VC completed 2025 MB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1963		R.A. Lelliott			Cyprus	1963				Solanum tuberosum	"SMT23, CFBP 4598"	"Biovar II.SMT reference strain (EC official method),"
1580		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1959		ex M. Aragaki TW			Hawaii	1963	A.C. Hayward	B2062	.	Solanum lycopersicum		Biovar IV
