NCPPB	NCPPB Notes	Taxon	Name	Name as Received	Sequencing - Sequenced	Other - Sequence type(s)	Other - Partial Gene Type	Other - Sequencing Notes	Other - URL link (NCBI)	Other - URL link (Q-bank)	Collection History - Year of Isolation	Collection History - Country of Isolation	Collection History - Isolated By	Collection History - Isolater's Reference	Collection History - Isolated From	Collection History - Country of Origin	Collection History - Year of Accession	Collection History - Donor	Collection History - Donor Reference	Collection History - Donor Institution	Collection History - Host	Reference - Other Collections	Other - Public Notes
4823	Taqman positive using Weller et al. (2000) assay with Vreeburg et al. (2016) probe. Phylotype I as determined using the Fegan and Pryor (2005) multiplex conventional PCR assay.	Ralstonia pseudosolanacearum		Ralstonia pseudosolanacearum	No						2021	United Kingdom	Adam Bryning		Zingiber officinale (ginger)	Uganda	2026	Adam Bryning	2021020884	Fera	Zingiber officinale (ginger)		
4822	Typical colony morphology on SMSA and SPA. Taqman positive using Weller et al. (2000) assay with Vreeburg et al. (2016) probe. Phylotype I as determined using the Fegan and Pryor (2005) multiplex conventional PCR assay. Year of last pathogenicity check: 2020 (on tomato)	Ralstonia pseudosolanacearum		Ralstonia pseudosolanacearum	No						2020	United Kingdom	Ross Harland		Curcuma	Thailand	2026	Adam Bryning	2020014064	Fera	Curcuma		
																							
																							
4821	Isolate exhibited typical pathogenicity when inoculated into tomato. Wilting observed 3 days post inoculation.	Ralstonia pseudosolanacearum			No						2006	China			Solanum lycopersicum (tomato)	"Chongqing, China"	2026	Jolien Venneman	GBBC 1321 B-2	"ILVO - Flanders Research Institute for Agriculture, Fisheries and Food (Belgium)"	Solanum lycopersicum (tomato)		"phylotype I: Positive in TaqMan assay of Weller et al. (2000); egl barcode available, see multifasta file. WGS was performed at Fera to account for differences in pathogenicity between this isolate and isolated 1321 B-1 (NCPPB 4820) - see Bioinformatics Project ID BIO0085"
																							
																							
																							
4820	Isolate exhibited limited pathogenicity on inoculation into tomato stem. No wilting was observed. Only a lesion around the inoculation point.	Ralstonia pseudosolanacearum		Ralstonia pseudosolanacearum	No						2006	China	Johan Van Vaerenbergh		Solanum lycopersicum (tomato)	China	2026	Jolien Venneman	GBBC 1321 B-1	"ILVO - Flanders Research Institute for Agriculture, Fisheries and Food (Belgium)"	Solanum lycopersicum (tomato)		"Positive in TaqMan assay of Weller et al. (2000); egl barcode available, see multifasta file. WGS was performed at Fera to account for differences in pathogenicity between this isolate and isolated 1321 B-2 (NCPPB 4821) - see Bioinformatics Project ID BIO0085"
																							
4819	"Depositor: Positive in TaqMan assay of Weller et al. (2000); egl barcode available, see multifasta file. Depositor suggested media: mSMSA, Pseudomonas Agar F with 10 g/l sucrose (PAF sucrose); 27°C"	Ralstonia pseudosolanacearum		Ralstonia pseudosolanacearum	No						2008	China			Solanum melongena (eggplant)	"Chongqing, China"	2026	Jolien Venneman	GBBC 1335	ILVO	Solanum melongena (eggplant)		phylotype-sequevar I-54
																							
																							
																							
4818		PLACEHOLDER - Ralstonia pseudosolanacearum			No													ILVO	GBBC 1108				
4817	"Depositer: Positive in TaqMan assay of Weller et al. (2000); egl barcode available, see multifasta file. Depositer: suggested media: mSMSA, Pseudomonas Agar F with 10 g/l sucrose (PAF sucrose); 27°C"	Ralstonia pseudosolanacearum		Ralstonia pseudosolanacearum	No						2003	Belgium	Johan Van Vaerenbergh		Solanum tuberosum (potato)	"Labé, Guinea"	2026	ILVO	GBBC 1101	ILVO	Solanum tuberosum (potato)		"biovar 2T, phylotype-sequevar III-42"
																							
																							
																							
4816	"Depositer: Positive in TaqMan assay of Weller et al. (2000); egl barcode available, see multifasta file; Depositer suggested media: mSMSA, Pseudomonas Agar F with 10 g/l sucrose (PAF sucrose); 27°C"	Ralstonia pseudosolanacearum		Ralstonia pseudosolanacearum	No						2000	Belgium	Johan Van Vaerenbergh		Solanum tuberosum (potato)	"Kambila (Kati), Mali"		Jolien Venneman	GBBC 699	ILVO	Solanum tuberosum (potato)		"biovar 3, phylotype-sequevar I-46"
																							
																							
																							
4695		Ralstonia pseudosolanacearum		Ralstonia pseudosolanacearum (Smith 1896) Safni et al. 2014	No								S. Carroll			Thailand	2022	S. Carroll			Boesenbergia rotunda		
4694		Ralstonia pseudosolanacearum		Ralstonia pseudosolanacearum (Smith 1896) Safni et al. 2014	No								S. Carroll			Thailand	2022				Boesenbergia rotunda		
4362	Full genome sequenced. Removed from public access due to low stock	Ralstonia solanacearum		Ralstonia solanacearum							2003		Caitilyn Alten			USA	2006	j.elphinstone	UW551	CSL	Pelargonium x hortorum cv. Americana Dark Red		Race 3 Biovar 2. Genome sequenced. Host plant originated in Kenya. Cutting raised in USA.
4215		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							2001		J G Elphinstone			Kenya	2001	J G Elphinstone			River Water		AFLP fingerprint indicates Biovar 3/4?; pathogenic to Solanum lycopersicum
4214	2nd VC done 2026- TMTC 5 years 	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No						2001		J G Elphinstone			Kenya	2001	J G Elphinstone			Soil		AFLP fingerprint indicates Biovar 3/4?; pathogenic to Solanum lycopersicum
4213	VC 2 done 2026-MB 4.3x10^7 	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No						2001		J G Elphinstone			Kenya	2001	J G Elphinstone			River Water		AFLP fingerprint indicates Biovar 2A; pathogenic to Solanum lycopersicum
4212		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							2001		J G Elphinstone			Kenya	2001	J G Elphinstone			Pelargonium hortorum var. Lady		AFLP fingerprint indicates Biovar 2A; pathogenic to Solanum lycopersicum
4211	Failed 2nd VC- refreeze-dry	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							2001		J G Elphinstone			Kenya	2001	J G Elphinstone			Pelargonium hortorum var. Ganymed		AFLP fingerprint indicates Biovar 2A; pathogenic to Solanum lycopersicum
4167	"Not a plant pathogen, AA 06/17"	Ralstonia sp.	Ralstonia sp.										J. Janse				2001	J.Elphinstone	SMT60		Milk	"SMT 60, PD 2778"	Cross reacts with Ralstonia solanacearum polyclonal antisera
4166	Deleted not a plant pathogen	Ralstonia pickettii	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996													2001	J.Elphinstone	SMT58			"SMT 58, ATCC 11149, NCPPB 4129, NCPPB 3899"	Cross reacts with Ralstonia solanacearum polyclonal antisera
4165	Deleted not a plant pathogen	Ralstonia pickettii	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996									M. Pickett				2001	D.Caffier	CFBP2459		"Human, ex tracheotomy patient"	"CFBP 2459, ATCC 27511, ICPB 3981, NCPPB 4130, NCPPB 4131, LMG 5942, DSMZ 6297"	Cross reacts with OLI-1/Y2 PCR primers
4161		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1996		P. Mueller			Germany	2001	J.Elphinstone			Solanum tuberosum	"SMT 76, B3B"	"Biovar 2.Pathogenic on tomato (2000), SMT reference strain (official EC method), FAP typical profile (2000), BOX-PCR typical profile (2000), Biovar 2 (2000), Fluidal colony type)."
