																													
173	SAMN27356574 	 		RAL_AA0521AA 	173		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											Kenya	1945	R.M. Nattrass			Solanum tuberosum	ICPB PS101	Biovar II. Partial gene sequencing (egl) suggests this organism is Race 3.	
215	SAMN27356503 	 		RAL_AA0241AA 	215	2nd VC completed 2024 - HB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											Zimbabwe	1948	G.R. Bates	7092		Solanum lycopersicum		Biovar I. Not pathogenic to Solanum lycopersicum (NCPPB).	
216	SAMN16125516 	 	GCF_015910735.1 		216		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											Zimbabwe	1948	G.R. Bates	7754		Solanum tuberosum		Biovar I. Not pathogenic to Solanum lycopersicum (NCPPB).	
253	SAMN16125517 SAMN27356589 	  	GCF_015910695.1 	RAL_AA0283AA 	253	Light blue amps found.(7) Have possibly been made and not recorded on system. Viability check carried out on light blue (batch IV) amps. HB 04/01/2023	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1949		G. Orian B14			Mauritius	1949				Casuarina equisetifolia		Biovar III	
282	SAMN03009966 SAMN04216072 SAMN22612330 SAMN27356500 	 UW491   	GCF_000750575.1 GCF_001696845.1 GCF_023076005.1 	RAL_AA0977AA RAL_AA0701AA RAL_AA0462AA 	282	2nd VC completed 2026 MB TMTC	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1950					Colombia	1950	J.G. Hawkes			Solanum tuberosum	ICPB PS149	Biovar II.	
283	SAMEA247340 SAMEA4156335 	  			283	2nd VC completed 2026 MB TMTC	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1950					Zimbabwe	1950	G.R. Bates	7195		Solanum panduraforme		Biovar I.	
325	SAMN16125519 SAMN27356651 	  	GCF_015910705.1 	RAL_AA0305AA 	325	"Historically known as K 60. Added to the MALDI-TOF library on 19/10/2022 (SMSA, SPA, TSBA, b.TSBA)."	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											USA	1953	A. Kelman	60-1		Solanum lycopersicum	"ATCC 11696, ICPB PS256, ICMP 5712, CFBP 2047, SMT41, LMG 2299, DSMZ 9544, CCUG 1"	"Race 1 Biovar I. SMT reference strain (EC official method),"	
326					326	Freeze dried to SOP PLH/808 - NO post drying tests carried out.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											USA	1953	A. Kelman	119				Biovar I.	
332	SAMEA4126800 SAMEA4126801 SAMEA4126802 SAMEA4126805 SAMEA768134 SAMEA768135 SAMEA768137 SAMEA768138 SAMN22612359 	         	GCF_023075415.1 	RAL_AA0065AA 	332		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1954					Zimbabwe	1954	G.R. Bates	SRN 15		Solanum tuberosum		Biovar I	
